Time (s),x,y,z
1.6546946971559562e+18,11.25,41.77500153,0.6750000119
1.6546946971659564e+18,11.32500076,41.77500153,0.9000000358
1.6546946971759562e+18,11.17500019,41.92500305,0.75
1.6546946971859564e+18,11.47500038,42.22500229,0.9000000358
1.6546946971959562e+18,11.40000057,42.0,0.6750000119
1.6546946972059564e+18,11.40000057,41.92500305,0.6000000238
1.6546946972159562e+18,11.40000057,41.625,0.4500000179
1.6546946972259564e+18,11.55000019,41.55000305,0.375
1.6546946972359562e+18,11.77500057,41.55000305,0.150000006
1.6546946972459564e+18,12.0,41.40000153,0.07500000298
1.654694697255956e+18,12.67500019,41.10000229,-0.375
1.654694697265956e+18,12.90000057,40.72500229,-0.75
1.654694697275956e+18,13.27500057,40.875,-1.275000095
1.654694697285956e+18,13.57500076,41.02500153,-1.725000024
1.654694697295956e+18,14.25000095,40.875,-1.950000048
1.654694697305956e+18,14.62500095,40.80000305,-2.475000143
1.654694697315956e+18,15.00000095,40.57500076,-3.150000095
1.654694697325956e+18,15.60000038,40.5,-3.825000048
1.654694697335956e+18,15.82500076,40.27500153,-4.200000286
1.6546946973459564e+18,16.27500153,40.20000076,-4.725000381
1.6546946973559562e+18,16.80000114,40.05000305,-4.950000286
1.6546946973659564e+18,17.10000038,39.75,-5.400000095
1.6546946973759562e+18,17.32500076,39.67500305,-5.925000191
1.6546946973859564e+18,18.0,39.375,-6.525000095
1.6546946973959562e+18,18.30000114,39.15000153,-6.825000286
1.6546946974059564e+18,18.75,38.77500153,-7.050000191
1.6546946974159562e+18,19.27500153,38.47500229,-7.425000191
1.6546946974259564e+18,19.42500114,38.10000229,-7.650000095
1.6546946974359562e+18,19.875,37.57500076,-7.950000286
1.6546946974459564e+18,20.32500076,37.35000229,-8.400000572
1.6546946974559562e+18,20.55000114,37.05000305,-8.925000191
1.6546946974659564e+18,20.55000114,36.90000153,-9.0
1.6546946974759562e+18,20.85000038,36.60000229,-9.150000572
1.6546946974859564e+18,21.15000153,36.75,-9.450000763
1.6546946974959562e+18,21.30000114,36.75,-9.450000763
1.654694697505956e+18,21.52500153,36.67500305,-9.600000381
1.654694697515956e+18,21.375,36.82500076,-9.900000572
1.654694697525956e+18,21.45000076,36.60000229,-10.125
1.654694697535956e+18,21.52500153,36.52500153,-9.975000381
1.654694697545956e+18,21.82500076,36.375,-10.05000019
1.654694697555956e+18,21.90000153,36.375,-9.975000381
1.654694697565956e+18,21.52500153,36.22500229,-9.900000572
1.654694697575956e+18,21.60000038,36.375,-9.975000381
1.654694697585956e+18,21.52500153,36.60000229,-9.825000763
1.6546946975959562e+18,21.52500153,36.52500153,-9.525000572
1.6546946976059564e+18,21.52500153,36.60000229,-9.150000572
1.6546946976159562e+18,21.22500038,36.67500305,-8.775000572
1.6546946976259564e+18,20.625,37.125,-8.475000381
1.6546946976359562e+18,20.32500076,37.42500305,-8.175000191
1.6546946976459564e+18,20.32500076,37.65000153,-7.800000191
1.6546946976559562e+18,20.02500153,37.80000305,-7.350000381
1.6546946976659564e+18,20.02500153,37.95000076,-7.050000191
1.6546946976759562e+18,20.02500153,38.32500076,-6.600000381
1.6546946976859564e+18,19.42500114,38.70000076,-6.450000286
1.6546946976959562e+18,19.57500076,38.92500305,-6.600000381
1.6546946977059564e+18,19.65000153,38.85000229,-6.600000381
1.6546946977159562e+18,19.27500153,39.0,-6.525000095
1.6546946977259564e+18,18.97500038,39.07500076,-6.525000095
1.6546946977359562e+18,18.52500153,39.0,-6.825000286
1.6546946977459564e+18,18.07500076,38.92500305,-7.125000477
1.654694697755956e+18,17.85000038,38.85000229,-7.275000095
1.654694697765956e+18,18.15000153,38.77500153,-7.350000381
1.654694697775956e+18,18.15000153,38.77500153,-7.425000191
1.654694697785956e+18,18.22500038,39.0,-7.500000477
1.654694697795956e+18,18.45000076,38.77500153,-7.650000095
1.654694697805956e+18,18.75,38.77500153,-7.800000191
1.654694697815956e+18,19.20000076,38.70000076,-7.575000286
1.654694697825956e+18,19.35000038,38.625,-7.500000477
1.654694697835956e+18,19.35000038,38.77500153,-7.275000095
1.6546946978459564e+18,19.05000114,38.77500153,-6.750000477
1.6546946978559562e+18,18.67500114,38.85000229,-6.300000191
1.6546946978659564e+18,18.22500038,38.77500153,-5.925000191
1.6546946978759562e+18,18.15000153,39.0,-5.100000381
1.6546946978859564e+18,17.77500153,39.15000153,-4.650000095
1.6546946978959562e+18,17.47500038,39.30000305,-3.975000143
1.6546946979059564e+18,17.17500114,39.67500305,-3.150000095
1.6546946979159562e+18,17.02500153,39.82500076,-2.550000191
1.6546946979259564e+18,16.95000076,39.75,-2.475000143
1.6546946979359562e+18,16.80000114,39.97500229,-1.950000048
1.6546946979459564e+18,16.875,39.97500229,-1.275000095
1.6546946979559562e+18,16.57500076,40.125,-1.200000048
1.6546946979659564e+18,16.42500114,40.05000305,-0.8250000477
1.6546946979759562e+18,16.27500153,40.27500153,-0.4500000179
1.6546946979859564e+18,16.27500153,40.27500153,-0.0
1.6546946979959562e+18,16.05000114,40.20000076,0.2250000089
1.654694698005956e+18,15.90000057,40.27500153,0.75
1.654694698015956e+18,15.97500038,40.27500153,1.200000048
1.654694698025956e+18,15.82500076,40.35000229,1.650000095
1.654694698035956e+18,15.75000095,40.27500153,2.25
1.654694698045956e+18,15.90000057,40.42500305,2.850000143
1.654694698055956e+18,15.82500076,40.27500153,3.525000095
1.654694698065956e+18,15.60000038,40.20000076,3.750000238
1.654694698075956e+18,15.52500057,40.05000305,4.200000286
