"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.588486580E-1,7.989247679E-4,0.000000000E0,2.263620263E-3,2.400470262E-3
6.613862630E-1,-2.663082560E-4,1.065233024E-3,1.331541280E-4,1.106061257E-3
6.639196480E-1,1.864157850E-3,2.130466048E-3,-9.320789250E-4,2.980392792E-3
6.664416790E-1,3.994623665E-3,1.065233024E-3,2.263620263E-3,4.713355102E-3
6.689871480E-1,1.864157850E-3,2.130466048E-3,1.331541280E-4,2.834025422E-3
6.715182420E-1,1.864157850E-3,3.195699072E-3,1.198387123E-3,3.888921282E-3
6.740515750E-1,-1.331541222E-3,4.260932095E-3,1.331541280E-4,4.466125207E-3
6.765836580E-1,-2.396774245E-3,2.130466048E-3,-9.320789250E-4,3.339488507E-3
6.791149610E-1,-2.396774245E-3,2.130466048E-3,1.331541280E-4,3.209539279E-3
6.816496480E-1,-1.331541222E-3,1.065233024E-3,-9.320789250E-4,1.943320494E-3
6.841830330E-1,-2.663082560E-4,2.130466048E-3,1.331541280E-4,2.151170772E-3
6.867161060E-1,-2.396774245E-3,1.065233024E-3,2.263620263E-3,3.464567054E-3
6.892500650E-1,-2.663082560E-4,3.195699072E-3,1.198387123E-3,3.423382003E-3
6.917820960E-1,-1.331541222E-3,1.065233024E-3,2.263620263E-3,2.834025426E-3
6.943165230E-1,1.864157850E-3,2.130466048E-3,1.198387123E-3,3.074101782E-3
6.968551170E-1,7.989247679E-4,3.195699072E-3,1.331541280E-4,3.296741325E-3
6.993824080E-1,-2.396774245E-3,1.065233024E-3,1.198387123E-3,2.883640039E-3
7.019165750E-1,3.994623665E-3,2.130466048E-3,3.328853287E-3,5.619356548E-3
7.044502730E-1,-2.663082560E-4,5.326164886E-3,1.198387123E-3,5.465810478E-3
7.069831900E-1,-2.663082560E-4,0.000000000E0,1.331541280E-4,2.977416816E-4
7.095154810E-1,-2.396774245E-3,-2.130466048E-3,3.328853287E-3,4.622193913E-3
7.120532420E-1,7.989247679E-4,0.000000000E0,1.198387123E-3,1.440282084E-3
7.145879290E-1,7.989247679E-4,0.000000000E0,-9.320789250E-4,1.227620425E-3
7.171151170E-1,-1.331541222E-3,1.065233024E-3,-1.997311832E-3,2.626209812E-3
7.196544400E-1,-1.331541222E-3,3.195699072E-3,1.198387123E-3,3.663553777E-3
7.221831380E-1,-2.663082560E-4,-1.065233024E-3,2.263620263E-3,2.515873243E-3
7.247165230E-1,1.864157850E-3,0.000000000E0,2.263620263E-3,2.932415589E-3
7.272514190E-1,1.864157850E-3,0.000000000E0,1.331541280E-4,1.868907304E-3
7.297861580E-1,-1.331541222E-3,1.065233024E-3,-9.320789250E-4,1.943320494E-3
7.323174080E-1,3.994623665E-3,3.195699072E-3,1.331541280E-4,5.117347047E-3
7.348505330E-1,3.994623665E-3,0.000000000E0,4.394086078E-3,5.938435036E-3
7.373850650E-1,7.989247679E-4,2.130466048E-3,2.263620263E-3,3.209539384E-3
7.399176170E-1,3.994623665E-3,3.195699072E-3,1.198387123E-3,5.254107201E-3
7.424473040E-1,-2.663082560E-4,1.065233024E-3,2.263620263E-3,2.515873243E-3
7.449843360E-1,-2.663082560E-4,-1.065233024E-3,3.328853287E-3,3.505268276E-3
7.475163670E-1,-1.331541222E-3,2.130466048E-3,-1.997311832E-3,3.209539244E-3
7.500505860E-1,-2.663082560E-4,2.130466048E-3,1.331541280E-4,2.151170772E-3
7.525833980E-1,2.929390874E-3,1.065233024E-3,1.331541280E-4,3.119901009E-3
7.551173040E-1,-1.331541222E-3,1.065233024E-3,1.198387123E-3,2.084191718E-3
7.576512110E-1,1.864157850E-3,3.195699072E-3,1.331541280E-4,3.702067945E-3
7.601840750E-1,1.864157850E-3,0.000000000E0,1.331541280E-4,1.868907304E-3
7.627219400E-1,-1.331541222E-3,-4.260932095E-3,1.331541280E-4,4.466125207E-3
7.652513150E-1,-2.396774245E-3,-2.130466048E-3,1.198387123E-3,3.423381962E-3
7.677815750E-1,7.989247679E-4,-1.065233024E-3,1.331541280E-4,1.338182425E-3
7.703180330E-1,-2.396774245E-3,1.065233024E-3,1.331541280E-4,2.626209855E-3
7.728504290E-1,-1.331541222E-3,3.195699072E-3,1.198387123E-3,3.663553777E-3
7.753827730E-1,-2.663082560E-4,-1.065233024E-3,1.198387123E-3,1.625353247E-3
7.779222520E-1,-2.663082560E-4,0.000000000E0,1.198387123E-3,1.227620374E-3
7.804502730E-1,1.864157850E-3,0.000000000E0,1.331541280E-4,1.868907304E-3
7.829815750E-1,7.989247679E-4,2.130466048E-3,1.331541280E-4,2.279231534E-3
7.855152210E-1,-2.396774245E-3,2.130466048E-3,1.331541280E-4,3.209539279E-3
7.880483460E-1,-1.331541222E-3,-1.065233024E-3,-9.320789250E-4,1.943320494E-3
7.905832940E-1,-1.331541222E-3,2.130466048E-3,1.331541280E-4,2.515873134E-3
7.931182420E-1,1.864157850E-3,1.065233024E-3,1.198387123E-3,2.458848832E-3
7.956513150E-1,1.864157850E-3,-1.065233024E-3,2.263620263E-3,3.119901053E-3
7.981833980E-1,-2.663082560E-4,-1.065233024E-3,3.328853287E-3,3.505268276E-3
8.007168360E-1,2.929390874E-3,2.130466048E-3,3.328853287E-3,4.919500043E-3
