"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.374027819E0,2.191422880E-2,-1.969388872E-2,1.613616943E-2
1.379069121E0,-9.279578924E-3,-5.627684295E-4,3.619194031E-2
1.384110475E0,7.477223873E-3,-1.128362492E-2,4.182815552E-2
1.389151829E0,1.931786537E-2,4.292402416E-3,-3.654479980E-3
1.394193132E0,1.796895266E-2,1.015830413E-2,-1.248359680E-3
1.399405007E0,8.350610733E-5,2.853844315E-3,-1.549053192E-2
1.404446361E0,3.594338894E-3,-4.282236099E-3,2.739810944E-2
1.409487663E0,2.016630769E-2,-4.308152944E-3,-1.796722412E-2
1.414529017E0,2.123783529E-2,8.781153709E-3,9.501457214E-3
1.419570371E0,-3.473752737E-2,2.730693668E-3,6.287097931E-2
1.424611673E0,1.071275771E-2,-1.638570800E-2,-2.979278564E-3
1.429813079E0,-3.576084971E-3,1.501530409E-3,2.674007416E-2
1.434854434E0,1.078446209E-2,-1.391207054E-2,-8.020401001E-4
1.439895788E0,7.053375244E-3,7.598459721E-3,-2.692604065E-2
1.444937090E0,1.636764407E-2,9.975951165E-3,6.553649902E-3
1.449978444E0,9.130507708E-3,2.772345021E-2,-3.507137299E-2
1.455019746E0,6.782770157E-3,3.698766232E-3,2.817344666E-2
1.460210267E0,-1.117005944E-2,-7.087066770E-3,2.993583679E-3
1.465251621E0,1.740317047E-2,-1.310736686E-2,-8.373832703E-2
1.470292975E0,-7.684975863E-3,-1.065973565E-2,-3.434181213E-2
1.475334277E0,-6.381139159E-3,-3.275636584E-3,1.464366913E-2
1.480375632E0,1.164367795E-2,-9.199075401E-3,2.640151978E-2
1.485416934E0,1.381881535E-2,-7.972449064E-3,7.250118256E-2
1.490608236E0,1.375706494E-2,2.177563682E-2,-6.493568420E-3
1.495649590E0,-4.815757275E-4,-9.327717125E-4,7.814407349E-3
1.500690944E0,-2.539494634E-2,-9.250212461E-3,3.150367737E-2
1.505732246E0,1.765348017E-2,-2.816300094E-2,1.580238342E-2
1.510773600E0,-2.269577980E-2,8.905086666E-3,3.796577454E-3
1.515814902E0,3.334359825E-2,-6.543647498E-3,-2.236557007E-2
1.521005111E0,-8.585318923E-3,-7.689524442E-3,1.107692719E-2
1.526046465E0,9.224608541E-3,-2.434255928E-2,-8.935928345E-4
1.531087819E0,2.047806978E-3,-5.174752325E-3,-2.939319611E-2
1.536129121E0,-3.830164671E-3,1.905050129E-3,1.836299896E-2
1.541170475E0,1.414752007E-2,-9.948626161E-3,4.671764374E-2
1.546211777E0,3.313258290E-3,1.757179946E-2,-1.424694061E-2
1.551404798E0,7.983684540E-3,-1.222795621E-2,5.001068115E-2
1.556446152E0,3.191992640E-3,-1.345473155E-2,1.277160645E-2
1.561487507E0,-2.761265635E-2,-1.338076591E-2,-2.534198761E-2
1.566528809E0,2.252878249E-2,-2.719663084E-3,-6.432819366E-2
1.571570163E0,1.748654246E-2,1.505604014E-2,-2.459812164E-2
1.576611465E0,-2.539235353E-2,-1.480152458E-2,5.512237549E-4
1.581786569E0,-3.001065552E-2,3.044884652E-3,4.211521149E-2
1.586827923E0,-1.777929068E-2,-1.470569894E-2,-3.367424011E-3
1.591869225E0,-2.164736390E-3,-2.401854470E-2,3.942012787E-2
1.596910579E0,-1.291370392E-2,-1.263614744E-3,2.127552032E-2
1.601951934E0,-8.249282837E-4,-1.435623318E-2,1.159667969E-2
1.606993236E0,-1.850381494E-3,-1.659855247E-2,-1.562118530E-3
1.612197611E0,6.532669067E-3,1.237370074E-3,-4.549694061E-2
1.617238965E0,2.940788865E-3,1.425493881E-2,-4.155445099E-2
1.622280319E0,4.026591778E-3,2.272490412E-3,8.677482605E-3
1.627321621E0,3.606233001E-2,1.177021861E-2,-8.964538574E-4
1.632362975E0,-1.298788190E-2,-2.867186815E-2,1.217556000E-2
1.637404329E0,-1.512557268E-2,-5.903683603E-3,-1.880455017E-2
1.642593132E0,-7.456392050E-4,-1.063935459E-3,-4.715442657E-2
1.647634486E0,-1.031927764E-2,-1.883096248E-2,3.123283386E-3
1.652675840E0,-3.037364781E-2,-1.137772948E-2,7.850646973E-3
1.657717142E0,7.938966155E-3,2.752736211E-3,-5.292892456E-4
1.662758496E0,-1.709522307E-2,-6.811454892E-3,2.679252625E-2
1.667799798E0,6.725654006E-3,6.348684430E-3,-2.213001251E-2
1.672993184E0,6.803572178E-3,1.103308797E-2,-5.655288696E-4
1.678034538E0,-1.593574882E-3,-8.956231177E-4,1.488113403E-2
1.683075892E0,2.806204557E-2,5.038686097E-3,-3.869247437E-2
1.688117194E0,2.936512232E-3,2.609565854E-4,-2.767848969E-2
1.693158548E0,-5.375400186E-3,-1.517022401E-2,-3.576278687E-2
1.698199850E0,1.839867234E-2,-2.951536328E-2,8.479118347E-3
1.703389590E0,-1.152868569E-2,-1.022362709E-2,-4.657745361E-3
1.708430892E0,1.707322896E-2,-3.984328359E-2,-2.124691010E-2
1.713472298E0,-8.141607046E-3,7.858861238E-3,-8.007049561E-3
1.718513600E0,1.338341832E-2,4.218500108E-3,-4.238510132E-2
1.723554954E0,-3.330767155E-3,-1.834428683E-2,3.636169434E-2
1.728596309E0,2.874073386E-2,-3.134627268E-2,-3.639507294E-2
1.733774173E0,7.148131728E-3,-3.672305495E-3,5.481719971E-3
1.738815527E0,-2.336025238E-3,8.224282414E-3,-4.065513611E-3
1.743856829E0,-8.228749037E-3,-2.860050648E-2,-6.406784058E-3
1.748898184E0,-4.025565088E-2,3.592621535E-3,-5.166053772E-3
1.753939538E0,7.642120123E-3,-1.278206706E-3,3.190994263E-3
1.758980840E0,-1.855212450E-2,-1.669449732E-2,6.730365753E-2
1.764182298E0,-1.140443981E-2,2.856746502E-2,-1.283931732E-2
1.769223652E0,8.959516883E-3,1.636368781E-2,-6.793022156E-3
1.774265007E0,-4.257306457E-3,1.608470082E-2,7.514953613E-3
1.779306309E0,1.010869443E-2,-2.919539064E-2,-2.048492432E-3
1.784347663E0,-6.552532315E-3,-1.360042021E-2,4.072761536E-2
1.789389017E0,-7.737278938E-3,-1.246641576E-2,-1.306247711E-2
1.794579694E0,9.062632918E-3,5.441181362E-3,-2.601814270E-2
1.799621048E0,1.492567360E-2,-2.072022855E-2,-5.609512329E-3
1.804662402E0,-2.439443767E-2,9.159959853E-3,-1.862907410E-2
1.809703704E0,1.864632964E-2,-2.294711769E-2,8.846282959E-3
1.814745059E0,3.158241510E-2,2.226460725E-3,4.678153992E-2
1.819786361E0,4.381090403E-4,-6.067655981E-3,-8.244514465E-3
1.824978652E0,2.521787584E-2,7.062215358E-3,1.082611084E-2
1.830020007E0,1.164674759E-4,9.237982333E-3,-4.508781433E-2
1.835061361E0,2.978418767E-2,-3.226835653E-2,6.361961365E-3
1.840102663E0,-6.097152829E-3,-1.540761068E-2,-3.192901611E-3
1.845144017E0,-2.019539475E-2,-7.029592991E-3,4.671955109E-2
1.850185319E0,3.883332014E-3,-1.997071877E-2,5.939960480E-2
1.855374538E0,-5.624502897E-3,6.341055036E-3,-3.730392456E-2
1.860415892E0,3.924369812E-3,-1.990577579E-2,-3.818130493E-2
1.865457246E0,5.105718970E-3,1.446101815E-3,1.320934296E-2
1.870498548E0,-2.037540078E-3,2.042658627E-2,-2.253341675E-2
1.875539902E0,2.059853077E-2,-3.562111408E-3,-4.134941101E-2
1.880581204E0,2.353936434E-4,-1.067160442E-2,3.382396698E-2
1.885758288E0,-2.195537090E-3,8.516468108E-3,2.660751343E-3
1.890799642E0,-2.464188635E-2,2.860130742E-2,2.639484406E-2
1.895840944E0,-1.733618975E-2,4.596892744E-3,-2.331733704E-3
1.900882298E0,1.609167457E-2,-3.081709146E-4,-3.200531006E-2
1.905923652E0,1.118013263E-2,-3.937445581E-4,-9.172439575E-3
1.910964954E0,2.887728810E-2,-2.725515515E-3,4.062652588E-4
1.916167507E0,2.452686429E-3,8.001383394E-3,-7.867813110E-4
1.921208861E0,-9.419336915E-3,-2.179704979E-2,-3.522491455E-2
